ID,Selection,Type,Toplayer,Permeability remarks,Geometry remarks,D,D/Bx,Λ/D,cot α,ξm-10,SWL,z top,Hs,Tm-10,N,Hs/ΔD,Damage,Updated damage,Reference
122,,CB,Armorflex elements,Geotextile under blocks,,0.108,0.4,2.2,3,1.55,5,8.75,0.84,3.4,552,5.5,,a,"Lindenberg (1983), 45"
124,,CB,Armorflex elements,Geotextile under blocks,,0.108,0.4,4.3,3,1.26,5,8.75,1.22,3.3,750,8.0,,a,"Lindenberg (1983), 58"
123,,CB,Armorflex elements,Geotextile under blocks,,0.108,0.4,2.2,3,1.47,5,8.75,0.93,3.4,552,6.1,,d,"Lindenberg (1983), 46"
49,,CB,Haringman blocks,Wide y-joints,On their side,0.2,2.0,2.5,3.5,1.65,4.98,5,1.56,5.8,1045,6.2,,a,"Smith et al (2000), 21o14"
115,,CB,Haringman blocks,,,0.2,0.4,3.0,3.5,1.24,5,8.5,1.33,4.0,27349,5.1,,a,"Burger (1985), 10"
196,,CB,Haringman blocks,,,0.2,0.4,2.9,4,1.90,4.8,8.5,0.8,5.5,100,3.1,,a,Sparboom (1989)
50,,CB,Haringman blocks,Wide y-joints,On their side,0.2,2.0,2.5,3.5,1.60,5.01,5,1.7,5.8,1045,6.8,,b,"Smith et al (2000), 21o15"
51,*,CB,Haringman blocks,Wide y-joints,On their side,0.2,2.0,2.5,3.5,1.99,5,5,1.55,6.9,1045,6.2,,c,"Smith et al (2000), 21o16"
116,*,CB,Haringman blocks,,,0.2,0.4,2.9,3.5,1.17,5,8.5,1.5,4.0,941,5.8,,c,"Burger (1985), 15"
114,*,CB,Haringman blocks,,,0.2,0.4,3.0,3.5,1.39,5,8.5,1.43,4.7,13746,5.5,,d,"Burger (1985), 6"
190,,CB,Rectangular blocks,,,0.18,0.6,0.6,3,1.53,4.5,7,0.58,2.8,998,2.4,,a,"Gier (2011), 5"
191,,CB,Rectangular blocks,,,0.18,0.6,0.6,3,1.49,4.5,7,0.8,3.2,1013,3.4,,b,"Gier (2011), 7"
192,*,CB,Rectangular blocks,,,0.18,0.6,0.6,3,1.87,4.5,7,1.08,4.7,843,4.5,,d,"Gier (2011), 12"
7,,CB,Rectangular blocks,"Siltated, measured ",,0.2,0.4,1.3,3.5,1.89,3.77,5,0.86,4.9,1045,3.2,,a,"Smith et al (2000), 4bo06"
8,,CB,Rectangular blocks,"Siltated, measured ",,0.2,0.4,2.8,3.5,1.27,3.77,5,0.71,3.0,1045,2.7,,a,"Smith et al (2000), 4co01"
9,,CB,Rectangular blocks,"Siltated, measured ",,0.2,0.4,2.8,3.5,1.84,3.78,5,1.05,5.3,1045,3.9,,a,"Smith et al (2000), 4co07"
13,,CB,Rectangular blocks,Mine stone,,0.25,0.5,2.5,3.5,1.30,4.02,5,1.64,4.7,1045,4.7,,a,"Smith et al (2000), 5o05"
13,,CB,Rectangular blocks,Mine stone,,0.25,0.5,2.5,3.5,1.41,4.02,5,1.64,5.1,1045,4.7,,b,"Smith et al (2000), 5o06"
15,,CB,Rectangular blocks,,,0.25,0.5,2.5,3.5,1.87,2.23,5,0.91,5.0,1045,2.6,,0,"Smith et al (2000), 6o21"
,,,,,,,,,,,,,,,,,,,
