Time,B-1-1,B-1-10,B-1-2,B-1-3,B-1-4,B-1-5,B-1-6,B-1-7,B-1-8,B-1-9,B-10-1,B-10-2,B-10-3,B-10-4,B-10-5,B-10-6,B-10-7,B-10-8,B-10-9,B-11-1,B-11-10,B-11-2,B-11-3,B-11-4,B-11-5,B-11-6,B-11-7,B-11-8,B-11-9,B-12-1,B-12-2,B-12-3,B-12-4,B-12-5,B-12-6,B-12-7,B-12-8,B-12-9,B-13-1,B-13-10,B-13-2,B-13-3,B-13-4,B-13-5,B-13-6,B-13-7,B-13-8,B-13-9,B-14-1,B-14-2,B-14-3,B-14-4,B-14-5,B-14-6,B-14-7,B-14-8,B-14-9,B-15-1,B-15-10,B-15-2,B-15-3,B-15-4,B-15-5,B-15-6,B-15-7,B-15-8,B-15-9,B-16-1,B-16-2,B-16-3,B-16-4,B-16-5,B-16-6,B-16-7,B-16-8,B-16-9,B-17-1,B-17-10,B-17-2,B-17-3,B-17-4,B-17-5,B-17-6,B-17-7,B-17-8,B-17-9,B-18-1,B-18-2,B-18-3,B-18-4,B-18-5,B-18-6,B-18-7,B-18-8,B-18-9,B-19-1,B-19-10,B-19-2,B-19-3,B-19-4,B-19-5,B-19-6,B-19-7,B-19-8,B-19-9,B-2-1,B-2-2,B-2-3,B-2-4,B-2-5,B-2-6,B-2-7,B-2-8,B-2-9,B-20-1,B-20-2,B-20-3,B-20-4,B-20-5,B-20-6,B-20-7,B-20-8,B-20-9,B-21-1,B-21-10,B-21-2,B-21-3,B-21-4,B-21-5,B-21-6,B-21-7,B-21-8,B-21-9,B-22-1,B-22-2,B-22-3,B-22-4,B-22-5,B-22-6,B-22-7,B-22-8,B-22-9,B-3-1,B-3-10,B-3-2,B-3-3,B-3-4,B-3-5,B-3-6,B-3-7,B-3-8,B-3-9,B-4-1,B-4-2,B-4-3,B-4-4,B-4-5,B-4-6,B-4-7,B-4-8,B-4-9,B-5-1,B-5-10,B-5-2,B-5-3,B-5-4,B-5-5,B-5-6,B-5-7,B-5-8,B-5-9,B-6-1,B-6-2,B-6-3,B-6-4,B-6-5,B-6-6,B-6-7,B-6-8,B-6-9,B-7-1,B-7-10,B-7-2,B-7-3,B-7-4,B-7-5,B-7-6,B-7-7,B-7-8,B-7-9,B-8-1,B-8-2,B-8-3,B-8-4,B-8-5,B-8-6,B-8-7,B-8-8,B-8-9,B-9-1,B-9-10,B-9-2,B-9-3,B-9-4,B-9-5,B-9-6,B-9-7,B-9-8,B-9-9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,53837.863,45764.527,45647.03,40800.97,49330.77,42185.54,45636.83,49542.14,40612.742,34840.168,22222.145,23615.814,25027.5,19790.398,17811.904,34599.105,23878.498,22470.512,16209.859,16001.62,25354.682,23242.67,19493.135,17350.338,17368.402,22212.105,22578.236,32546.953,22007.982,20797.57,14221.432,21329.68,18011.004,20566.88,16071.752,19878.895,18876.666,21016.654,23348.977,23777.043,16505.65,22071.34,15373.286,23063.736,19218.477,34950.53,22054.236,19027.453,30392.152,22259.475,28218.348,17357.201,19052.404,18467.055,25044.504,20556.035,20407.38,36283.438,32913.938,31235.37,23180.873,26035.504,28274.129,33280.824,31451.785,19615.184,33711.01,26290.217,31984.791,41025.906,38630.52,32981.06,29137.57,33015.055,26358.684,40665.688,38948.96,34084.914,31824.598,32103.463,37597.066,36818.367,33029.523,30917.99,34765.438,31692.629,30026.697,34695.266,35648.57,43382.5,37554.816,31251.756,42401.742,25093.795,30943.541,34951.688,42668.477,48302.613,39063.77,34703.125,49465.867,38054.582,45413.918,28810.11,42597.793,64180.24,44129.316,45228.324,45264.027,48749.24,65800.31,40059.113,44279.34,68341.234,49826.688,48511.16,41830.445,51059.207,52174.06,85136.875,61548.457,52640.176,66723.51,91731.914,82685.68,59496.797,66849.02,81885.445,58864.344,67560.57,81965.586,69931.17,62491.414,138626.23,146719.19,180271.92,91410.36,66254.59,204461.42,109760.36,159537.03,109909.71,36583.35,38650.594,35504.633,34701.438,33916.438,40416.72,36800.98,32048.75,36447.27,33110.22,29308.424,38141.48,35402.438,31173.955,32982.906,36753.992,36682.008,38110.06,36929.312,30912.883,35062.797,33435.773,31526.754,30214.707,39830.457,36772.445,37228.152,31856.668,37339.55,29672.924,37938.16,28480.322,29606.291,37505.43,40406.293,44505.418,30595.54,25019.15,32867.24,27982.807,26299.148,27092.893,26115.748,26148.18,32722.695,29283.416,31437.35,34151.613,27276.07,34341.465,23981.574,28502.24,27977.137,34853.06,25925.748,24846.705,24571.826,27353.287,24042.717,22236.094,18664.12,21385.53,25192.482,25462.152,19588.174,23184.436,21514.066
0.02,40170.426,42015.156,42627.297,39175.35,45299.418,38630.21,29108.098,32231.555,44382.02,38966.523,20755.775,27001.986,25027.77,23509.246,25273.656,28950.72,29218.451,22544.293,20045.934,15658.26,19435.316,24792.51,21424.168,23531.62,23712.467,28634.139,24629.38,22703.326,22237.164,24608.715,26871.723,20340.64,25766.936,31400.275,26170.719,27459.076,21517.74,21295.777,29671.018,23987.986,34763.453,29416.975,31792.145,30899.27,33753.145,28542.393,24002.043,27424.074,40423.21,55995.008,47591.777,46685.863,34721.133,39740.707,25109.8,27150.205,28218.482,28855.205,21819.908,31502.342,28680.08,25576.674,30613.77,35301.812,30352.695,26547.918,27972.2,28230.703,52822.31,32051.504,32074.979,25138.012,39950.094,40806.035,30356.645,41147.1,40467.56,42192.438,35067.703,40094.477,47919.953,42942.727,33306.867,29941.043,31230.46,31139.896,45401.465,36772.99,42706.926,44639.96,38700.48,54067.7,39249.734,42526.2,45905.76,43700.6,36324.895,43877.297,37613.766,35678.906,50503.15,42965.492,47456.47,50992.125,36540.3,36260.215,49034.81,49442.0,39771.61,42997.53,42045.863,44840.812,39122.31,42464.87,40522.258,62675.324,57907.285,54044.973,64599.566,73316.89,80020.914,38451.67,48863.527,100297.52,69378.555,95797.03,79276.19,68366.01,57141.523,64635.562,83558.29,79165.95,60932.7,153341.36,81343.39,179854.47,106694.266,100009.484,91800.734,105940.98,133073.34,112924.445,37180.3,36555.28,30018.195,37919.832,41435.965,37182.69,43646.215,42734.516,36751.855,34086.477,41638.727,31574.963,39105.766,33669.56,32836.4,38284.203,28735.205,35613.246,35624.254,35004.5,34974.414,29065.025,25322.908,33462.992,35035.39,32318.379,36593.543,33084.656,31951.926,35319.164,29476.762,29687.781,27554.457,41404.684,33318.254,31450.002,39053.797,29894.879,27080.064,27644.17,26609.86,24412.512,24439.479,25269.986,26296.012,30883.47,29493.787,25624.414,32655.518,22119.602,23917.914,29461.504,30911.158,21517.658,24137.297,29064.904,29741.588,19713.188,22167.234,28167.943,26108.836,29783.207,24630.068,39299.78,29425.227,21777.549,19169.664
0.03,39574.203,36764.598,32625.008,26725.555,26694.908,56475.695,32856.99,27004.113,35643.62,40462.363,21237.322,18467.994,20397.098,22758.646,23921.584,24900.902,25424.688,19890.877,16136.042,21646.586,14891.113,23510.727,13905.4375,18360.84,18963.277,22152.578,17319.096,18761.75,19835.748,15906.628,20655.492,24040.75,16709.2,16813.32,16872.979,16613.107,18410.484,17716.959,21190.9,15640.304,20560.87,17363.0,18038.92,17832.113,19820.094,19798.154,15003.345,17664.35,24605.957,20506.404,21041.92,19093.484,33139.87,22173.396,23876.32,16953.766,23121.078,24507.375,31328.95,33847.81,30378.357,24979.674,29843.924,28141.584,26219.955,28196.68,24323.559,39007.516,43484.05,27409.574,32332.86,33358.895,25430.838,29345.814,30494.05,35984.195,31094.543,43628.844,42229.695,38293.465,35347.42,33950.7,33637.3,40333.113,41275.113,30819.967,41651.273,39019.79,54510.07,51013.832,29103.082,43503.586,36939.11,31098.977,39195.91,46642.812,63627.16,45950.48,38928.484,46340.81,51193.06,49602.133,43852.844,47455.62,41395.973,45809.2,34330.12,34118.16,48650.18,50939.97,58582.953,40649.297,46592.965,39024.516,82092.88,67987.016,65193.46,65354.082,62808.49,53708.684,61636.51,43710.16,60818.633,88662.9,68577.055,85676.69,67376.44,75104.05,69861.125,69591.875,73636.69,67889.86,69498.83,245137.95,76754.22,236035.95,145629.88,183325.12,88716.49,169543.88,136980.1,126990.12,42447.727,35011.508,50462.203,47072.715,33334.75,45978.074,53552.863,45189.42,58251.566,28390.086,38513.29,30868.07,31025.738,31127.512,27550.09,35990.652,31323.947,35888.88,32307.453,37300.195,38513.316,33785.184,28700.389,32355.1,25577.395,25361.855,31510.322,27204.021,33000.945,34604.863,26636.264,26351.174,34316.004,33970.6,30995.693,28184.752,28702.424,30875.955,38921.41,24933.84,37029.316,35523.906,29550.334,27307.355,23641.975,31470.02,25032.666,33282.582,33266.1,28586.027,30283.055,31030.828,30603.625,25796.078,26675.875,32717.746,32794.863,21821.994,31240.623,26625.03,30363.764,24464.617,20339.643,21746.848,38699.7,21057.242,23716.729
0.04,37981.977,54007.1,43130.418,31998.016,51700.152,33317.168,39913.31,49575.59,46227.984,41306.527,18556.99,20624.594,23635.758,20348.68,24390.256,22939.467,26204.338,25968.13,19223.566,13657.184,14317.751,21048.92,19952.598,18810.09,22228.781,18392.594,15272.333,17606.498,20300.37,16519.678,24606.314,19753.004,20340.768,17019.559,16353.344,22259.287,23366.945,20289.258,14250.719,23866.62,21827.396,22062.37,18018.05,20217.482,20314.115,23982.22,19740.57,20201.389,24103.822,19514.697,31020.703,31688.371,16554.14,22545.803,26915.549,26156.299,21254.352,26394.63,25708.46,26708.918,22964.705,23586.162,21984.912,20148.588,32102.385,24921.393,26141.436,34090.152,36090.008,42336.22,30920.268,26054.549,32346.46,35919.566,40090.402,33900.156,46388.637,32980.3,37070.555,45367.184,34549.094,44679.26,29024.469,37059.74,38308.727,35251.027,48724.8,43013.72,38480.145,33858.36,40147.0,34891.7,53926.746,41496.543,36305.227,30923.016,50253.38,45999.48,38885.465,49241.766,58784.938,58253.625,46078.543,43069.953,38398.17,47558.426,45915.906,37021.3,38664.637,40899.81,41703.895,41092.934,45190.42,44468.65,57041.793,67671.53,56654.54,47031.85,49919.26,47559.94,52049.902,43340.78,62328.867,68662.234,93359.82,93504.45,84481.586,69188.62,88522.21,86193.23,74058.11,81803.71,76861.79,173131.66,150814.02,150323.48,151212.14,145509.86,132803.6,169484.95,114340.42,122479.66,38861.773,33849.13,39711.566,42354.418,36748.137,42363.305,42088.797,31725.7,49100.84,33508.5,33429.46,33937.86,38018.51,43273.95,37622.34,49789.383,30583.992,35724.098,33085.76,25058.633,36238.84,34898.887,41920.414,29789.29,42985.438,36799.29,36090.207,32459.72,39848.39,26016.197,31699.475,42452.582,28631.947,30322.43,22708.799,28220.963,43814.18,45654.516,33451.586,21640.24,27543.023,26192.648,35956.953,36653.23,32236.113,32628.271,31790.12,31735.434,30830.379,26020.986,22473.973,26386.43,21430.445,29906.955,33037.316,24914.12,35449.188,31266.266,28403.555,22127.162,19719.887,23534.879,20400.42,19221.021,21685.314,25698.572,25966.943
0.05,30420.45,41848.39,36376.55,41171.84,37717.176,35004.41,39957.125,38554.164,34543.887,34707.484,27621.04,19112.906,18667.174,21035.059,17208.55,19336.232,29646.238,34527.434,33390.086,20945.03,15753.179,29877.045,19187.818,23273.342,28405.244,22106.102,28732.951,42956.95,27564.145,19451.3,15763.246,25155.123,24110.984,26096.83,14096.916,26699.508,19602.156,19149.408,18062.418,23589.328,24118.258,23310.916,18847.488,24920.293,22287.537,19278.053,21479.348,16895.66,28630.588,20430.807,24143.77,26187.092,21485.885,19705.096,23182.266,20407.428,33254.047,30314.86,27751.674,25293.648,25210.982,22681.258,24166.639,28587.465,20015.06,28720.389,20231.252,33518.88,28518.92,33921.316,41037.777,35781.434,41159.098,36062.39,40676.926,35859.09,34634.453,32263.336,44709.324,37523.64,39454.812,37706.98,38297.715,30431.746,28001.484,30050.389,41126.043,47740.957,36123.4,54541.953,38988.285,35536.043,46561.633,29905.057,47299.24,56712.67,29445.975,61842.94,43298.008,60279.42,54388.984,53354.52,44279.36,45671.926,50869.312,38864.445,51367.34,38052.754,24949.725,43000.277,40288.156,36657.19,46772.152,38315.926,80184.19,73438.81,46225.36,64466.39,60531.55,44810.535,51612.81,48878.016,36883.785,101622.12,53906.266,89101.96,85622.11,65928.89,67563.78,96506.78,61676.906,59042.562,61172.73,181499.02,151123.19,170096.92,148595.28,231651.33,99788.375,103802.39,67940.8,77263.11,27787.941,40048.773,38619.176,43176.504,39755.945,36539.484,34682.473,27410.36,39986.277,38155.72,32544.645,30451.438,42342.688,33936.125,30339.629,33682.074,35731.44,26831.938,27277.268,23233.584,33567.508,29369.297,41875.082,37689.45,36334.703,31446.63,29193.047,34844.46,29042.68,29172.69,27368.25,26801.125,28731.225,32545.193,26237.17,32944.188,30995.482,32096.533,34044.375,39126.766,34020.87,31678.703,29110.957,27350.502,31458.547,30924.074,32406.102,26478.818,29072.775,27700.377,27521.889,41252.4,30965.537,27844.43,24088.732,23108.254,27582.49,25262.266,22234.469,21704.963,27311.62,17948.748,22742.816,25082.703,21389.771,31856.787,17088.18
0.06,43394.688,42376.95,44737.2,40376.97,49218.664,54422.695,54806.6,37832.914,34587.457,50077.78,23530.879,28449.389,25480.172,26520.738,35034.316,25474.467,23910.191,22770.945,20174.111,22000.031,18525.95,21801.56,17821.746,22185.717,18648.73,22304.846,18963.422,29274.59,27735.594,21280.291,21910.39,24135.865,26322.65,37350.406,22279.666,29044.604,22985.174,24481.953,21795.273,43206.168,26621.895,17093.99,20609.902,21942.234,18473.57,23463.426,23585.041,19067.854,29089.068,27214.203,33049.05,24181.799,28536.484,27846.535,25329.395,19397.316,21315.389,38362.332,31566.71,36637.883,24259.8,24715.451,28813.611,22427.588,25610.46,26037.36,21716.18,43180.094,40037.453,38510.152,47711.402,35836.484,35414.926,30926.355,32166.037,31263.408,40997.656,27876.234,42799.754,42576.633,35263.48,42270.78,38451.047,42852.066,31074.986,37084.598,48010.613,35904.434,34575.97,45013.945,41341.02,46594.387,59329.17,44156.316,55345.633,50950.875,48700.934,35479.824,37157.855,62835.53,53259.04,49934.582,43748.227,39136.06,62775.387,35286.188,37625.105,49645.223,37819.992,44691.363,35544.727,38059.305,32264.932,41382.13,71063.484,51952.676,57121.84,54583.582,59698.02,51913.27,56922.305,45401.65,56528.113,85955.85,62125.023,93420.984,75801.03,67959.51,77772.695,79096.664,83210.78,78612.29,67189.94,226878.02,135750.17,149509.61,139898.2,142437.11,110479.82,110422.08,132175.78,79998.055,35219.098,38370.547,34474.266,52664.0,64731.09,56286.977,56238.137,60909.5,33430.383,45092.38,34569.617,38580.105,34615.082,40578.78,42361.043,44117.53,29977.74,27830.445,30069.527,28097.367,30850.059,30452.316,31208.234,48685.098,34514.01,43583.09,37889.055,35925.39,34985.746,24136.152,30323.902,28107.26,32020.625,27812.557,28938.906,40507.426,43228.156,28985.79,35803.332,30184.266,33861.53,35395.96,36291.617,34419.977,41284.723,31584.383,45916.367,34864.77,34846.03,25657.748,22113.71,32676.432,17693.83,30409.303,31614.312,32284.332,30029.107,22071.86,19266.559,23597.533,24954.086,27063.385,28746.836,21827.037,32854.77,26893.516,20159.812
0.07,38200.37,29249.686,43132.56,38321.1,43693.805,38541.473,33441.67,34754.293,32694.15,40027.22,16967.197,24829.506,28075.084,20569.232,17060.04,21174.434,20548.965,22925.395,28243.234,17221.375,19014.783,18552.65,20555.732,26812.541,16169.14,18279.053,18989.896,47702.324,28952.713,20545.174,16229.94,28157.795,24134.988,23267.09,19272.62,29579.293,25943.318,19285.816,18755.22,24758.428,20060.955,27762.645,22673.121,21643.734,25446.363,22491.773,24495.451,22794.086,23690.2,23354.266,21750.184,23055.264,24091.129,24067.379,22279.143,23811.707,32882.434,25618.916,34760.418,18242.484,18856.764,25144.068,21625.86,30513.398,19545.309,20608.982,28244.973,34458.082,28437.955,33226.727,28423.852,26163.1,34254.727,28434.402,37603.746,32670.006,30624.572,36120.258,33435.082,33549.23,28720.734,37508.543,37272.83,39640.098,35344.766,36783.047,34550.91,37623.523,44162.91,42313.1,39356.797,35081.33,38412.734,42831.9,42458.367,49073.004,36271.902,42803.188,50855.94,44039.543,44404.848,45371.625,51941.43,44389.664,52508.473,40079.99,29496.014,36508.016,34028.438,40982.17,39821.355,35940.37,33948.605,39381.895,52722.4,32611.441,54472.45,72738.984,56280.113,66512.18,94788.695,68520.32,58666.74,66388.914,64458.734,57926.156,53801.344,65119.535,72682.195,75850.29,79965.93,65769.45,73332.234,209241.03,110864.09,142871.39,224198.62,142728.47,188089.8,160770.58,197213.14,97257.02,36543.71,56804.484,46145.082,44574.41,56066.93,41388.496,56648.996,45024.43,56994.68,35143.168,46734.69,35005.867,31816.285,31654.725,42070.81,35040.484,39788.246,30159.727,32774.484,31834.473,42055.543,46650.47,35049.02,33489.18,44653.1,31103.531,38272.992,44789.59,27338.506,26426.3,30617.285,29504.771,31082.447,34144.793,28929.973,36697.906,36971.312,25610.0,37323.63,41834.09,30408.367,31559.115,28056.193,31633.605,24662.828,32477.857,42510.098,24491.344,31942.955,37156.703,27615.506,27679.52,32978.855,43235.527,34612.01,27724.03,19887.385,23254.271,21119.432,29303.746,29884.953,27150.201,21886.045,19631.674,23106.688,31492.697,20026.973
0.08,37099.13,41202.867,39297.54,29392.588,41741.64,44836.797,52863.88,35503.344,56408.758,32531.152,21765.584,21332.428,20748.865,19795.254,28122.14,27435.791,20889.6,26976.52,24597.266,32417.46,16629.766,30230.584,25646.22,18767.824,19354.443,22298.45,23947.512,44259.473,22868.98,18451.648,17231.64,24629.66,27770.951,27021.506,16624.566,21819.49,21630.059,23087.756,20422.975,25297.314,17104.922,33018.902,22768.95,26201.79,29379.072,26738.205,26180.256,16750.777,24310.727,26011.158,29141.479,23485.09,37052.18,26987.646,33893.895,22023.127,29017.158,22524.055,31845.03,25844.676,22338.762,28281.723,27170.838,22898.879,17648.936,21193.68,32251.059,42903.414,38696.117,37023.773,36332.863,36600.098,36159.117,30428.564,30354.1,30410.557,43774.113,38254.484,40251.117,41452.09,33531.11,36820.023,43095.676,40920.062,32375.713,32941.44,39421.51,39904.355,38290.23,42897.2,51962.47,37255.844,33265.383,33639.617,58211.855,40957.156,51601.99,47757.33,35596.824,46586.098,58456.33,43088.664,38955.465,52274.035,59254.977,43304.984,39577.49,40314.727,36755.59,42640.17,30860.764,31708.494,42182.973,45629.617,51355.996,61894.367,56765.457,55277.223,54682.246,59403.16,54041.844,46681.83,46165.363,59416.98,100427.41,74692.58,71727.805,69999.414,85636.914,89601.05,75751.7,63197.39,70697.79,127891.54,257458.8,196748.16,124369.836,207752.81,135710.53,198878.95,190177.5,106129.73,39851.715,31997.541,35729.71,37177.74,49609.492,32067.41,47942.34,33097.707,33383.082,39211.91,34424.25,38140.938,30461.506,30838.85,36839.98,32425.049,29396.154,40728.043,28847.572,38552.902,36996.74,26849.307,37293.03,37211.27,28850.07,30632.55,30215.076,42590.285,55263.12,29992.13,29226.05,26010.955,40678.48,31180.025,21678.084,30240.12,29552.463,30485.738,32400.1,28237.781,33825.7,38630.848,36711.645,32311.32,40824.86,34955.582,32747.39,23289.498,26984.938,27004.615,23944.547,23757.293,39599.035,34730.523,30343.719,32085.39,27870.418,28291.037,22438.406,21290.602,19427.436,25739.0,28471.77,16666.717,22354.842,23855.674,23105.607
0.09,40255.395,35154.977,48988.043,40925.582,34345.098,36533.03,39547.074,43453.82,40614.707,28610.709,20620.414,22346.479,20046.623,16961.951,20403.023,26222.346,27955.854,23185.125,26790.084,17076.35,16893.086,28508.928,16337.43,22839.236,20721.76,19936.896,27021.201,22182.092,29643.287,26151.447,23802.277,26281.084,19872.336,19902.803,18099.076,22839.037,24879.143,20452.158,28135.691,19962.654,21984.148,16981.307,19096.756,24439.854,23689.475,25337.875,29317.56,24632.014,19742.498,22285.207,24337.492,21647.799,27581.652,23789.209,24635.02,19280.533,24797.14,26978.94,26081.186,22719.125,24887.648,21230.35,19501.525,19799.584,21804.596,23121.39,28913.375,28665.432,43578.555,30337.246,40657.438,29214.576,32656.393,30934.695,40502.61,42214.785,44914.777,27411.564,40262.586,41893.867,45834.773,35989.527,39686.805,30734.613,27509.049,42412.23,56201.934,48865.17,48225.004,42779.07,36049.855,45877.812,39953.74,44059.184,47781.848,40004.94,34698.598,49974.87,45618.934,43496.13,57737.82,53943.926,42366.914,37506.887,43651.785,36062.2,35296.383,42044.707,49768.98,31229.414,41959.11,38450.504,35107.41,37822.03,51832.848,64682.24,55818.23,63140.5,74325.42,58775.08,50626.137,58546.773,51619.496,110697.24,69589.53,86251.65,70249.31,86997.68,77939.67,85726.59,57141.52,83810.91,72169.87,143517.78,204534.55,169538.83,107627.66,131804.06,188817.52,114710.3,155850.92,110899.05,28777.156,39056.84,36510.633,46676.715,46188.918,43205.516,34184.01,46480.742,37067.117,30787.402,34931.25,30537.607,42066.145,34556.242,35625.113,36614.535,25115.771,33820.168,17291.814,38211.06,38203.93,38759.453,35753.688,38039.73,30303.91,27202.309,42058.99,26314.246,25140.78,26054.906,32090.07,42575.074,31942.648,27695.344,37944.45,33141.49,33835.516,29519.691,32313.467,35483.082,33230.805,31317.469,31408.04,25319.072,34931.87,28897.387,32543.838,24464.857,25141.182,29783.127,28030.455,24941.059,26318.943,31420.225,29226.768,26742.0,30464.936,19335.44,20269.531,26553.732,21650.867,18617.3,22992.05,22827.734,28821.742,28580.834,25041.29
