Time,B-1-1,B-1-10,B-1-2,B-1-3,B-1-4,B-1-5,B-1-6,B-1-7,B-1-8,B-1-9,B-10-1,B-10-2,B-10-3,B-10-4,B-10-5,B-10-6,B-10-7,B-10-8,B-10-9,B-11-1,B-11-10,B-11-2,B-11-3,B-11-4,B-11-5,B-11-6,B-11-7,B-11-8,B-11-9,B-12-1,B-12-2,B-12-3,B-12-4,B-12-5,B-12-6,B-12-7,B-12-8,B-12-9,B-13-1,B-13-10,B-13-2,B-13-3,B-13-4,B-13-5,B-13-6,B-13-7,B-13-8,B-13-9,B-14-1,B-14-2,B-14-3,B-14-4,B-14-5,B-14-6,B-14-7,B-14-8,B-14-9,B-15-1,B-15-10,B-15-2,B-15-3,B-15-4,B-15-5,B-15-6,B-15-7,B-15-8,B-15-9,B-16-1,B-16-2,B-16-3,B-16-4,B-16-5,B-16-6,B-16-7,B-16-8,B-16-9,B-17-1,B-17-10,B-17-2,B-17-3,B-17-4,B-17-5,B-17-6,B-17-7,B-17-8,B-17-9,B-18-1,B-18-2,B-18-3,B-18-4,B-18-5,B-18-6,B-18-7,B-18-8,B-18-9,B-19-1,B-19-10,B-19-2,B-19-3,B-19-4,B-19-5,B-19-6,B-19-7,B-19-8,B-19-9,B-2-1,B-2-2,B-2-3,B-2-4,B-2-5,B-2-6,B-2-7,B-2-8,B-2-9,B-20-1,B-20-2,B-20-3,B-20-4,B-20-5,B-20-6,B-20-7,B-20-8,B-20-9,B-21-1,B-21-10,B-21-2,B-21-3,B-21-4,B-21-5,B-21-6,B-21-7,B-21-8,B-21-9,B-22-1,B-22-2,B-22-3,B-22-4,B-22-5,B-22-6,B-22-7,B-22-8,B-22-9,B-3-1,B-3-10,B-3-2,B-3-3,B-3-4,B-3-5,B-3-6,B-3-7,B-3-8,B-3-9,B-4-1,B-4-2,B-4-3,B-4-4,B-4-5,B-4-6,B-4-7,B-4-8,B-4-9,B-5-1,B-5-10,B-5-2,B-5-3,B-5-4,B-5-5,B-5-6,B-5-7,B-5-8,B-5-9,B-6-1,B-6-2,B-6-3,B-6-4,B-6-5,B-6-6,B-6-7,B-6-8,B-6-9,B-7-1,B-7-10,B-7-2,B-7-3,B-7-4,B-7-5,B-7-6,B-7-7,B-7-8,B-7-9,B-8-1,B-8-2,B-8-3,B-8-4,B-8-5,B-8-6,B-8-7,B-8-8,B-8-9,B-9-1,B-9-10,B-9-2,B-9-3,B-9-4,B-9-5,B-9-6,B-9-7,B-9-8,B-9-9
0.0,40890.94,33288.402,50636.64,52638.684,43889.73,35305.19,37032.05,40757.65,29578.03,37685.734,20191.488,25641.35,23037.764,22634.605,20225.977,24674.521,28651.848,23545.523,18132.105,17941.393,22186.006,25976.018,23045.148,22171.89,20829.809,16875.803,18513.736,19076.006,30779.875,25824.637,22189.406,18508.756,20831.479,16683.645,17581.592,18462.21,19506.518,24898.322,19228.893,23254.248,27751.049,26365.406,20881.16,27759.672,21300.312,18585.098,24002.43,24231.895,32092.516,37685.99,25866.82,30164.83,32673.299,20135.889,30981.23,28327.799,33620.094,31147.541,28565.963,43250.703,30540.568,29695.242,26615.387,31139.828,23873.535,30296.664,26952.643,40121.086,32732.459,34776.004,29600.645,30255.906,42985.637,36309.117,29410.266,35531.36,38232.89,39528.926,30665.23,43424.598,40189.26,38287.76,38368.395,39075.715,38065.27,41225.312,42874.66,33690.05,34937.33,47548.723,44973.895,40276.906,48052.582,45310.58,56104.86,37515.49,40340.2,45935.207,50132.656,43030.484,42227.906,53117.793,42926.297,40874.242,38561.53,49967.21,48996.445,25576.643,35596.688,35945.44,33175.695,43597.96,35469.324,33757.13,44340.445,53070.383,46084.176,44367.91,56359.81,60641.047,45715.08,59647.613,42210.66,67928.51,68595.55,73469.875,82367.15,74340.62,70700.67,77304.93,64438.82,105599.125,70359.1,108259.47,105346.875,142628.92,146067.75,141312.97,102669.76,120076.61,161850.97,150275.28,56417.62,31097.994,44390.59,33052.797,31679.363,41085.77,41942.277,26338.107,35679.785,38279.887,39664.55,27345.697,27235.943,46465.05,25367.904,35475.332,25385.521,25202.273,28395.213,37375.418,24859.668,25954.143,36083.453,34088.375,31203.623,28938.928,38312.582,36458.582,35959.625,38659.395,30000.027,29318.488,32226.484,23971.594,25482.275,31765.494,25918.924,32068.473,42802.633,35636.926,29263.785,26555.947,24463.594,29764.635,21034.826,31834.016,23422.947,24021.45,34325.52,23651.312,32100.871,20412.357,24834.275,37503.734,25376.574,26026.95,29209.27,38866.438,26245.117,23852.354,23071.924,23040.166,18515.383,24413.578,19324.332,16299.436,33245.11
0.01,46774.035,40164.805,44864.473,35444.18,26335.592,37453.777,57748.598,38585.02,75605.234,31416.549,28932.682,21055.676,17935.488,20974.408,25790.1,23808.877,21517.203,24666.482,18449.168,24613.588,24218.61,30344.008,26016.322,34136.51,23939.82,24659.062,28771.877,25959.97,28711.096,25547.146,17686.617,27729.404,20415.592,18551.396,18360.18,26488.344,21723.352,31663.021,22515.234,26174.688,24013.51,19144.121,27679.105,20077.045,20909.375,36589.215,24155.027,28756.775,31524.67,28376.963,24083.127,31034.365,24521.67,24317.092,20309.732,31195.256,29310.758,28280.742,31996.92,27430.504,29380.018,28116.436,32376.377,28584.875,24720.441,22481.848,38945.496,34761.934,35393.074,38209.04,28803.105,39520.184,34308.812,36076.36,40282.145,28360.777,32948.375,32283.264,36698.605,41885.75,47797.14,44104.73,37725.05,32485.117,34817.082,42045.6,46629.86,50186.81,56193.594,52024.746,31663.518,40504.76,41636.188,44989.312,47775.402,52704.08,50315.285,48740.363,46252.77,42986.47,37709.582,49316.97,61554.535,55857.336,53110.152,54102.49,58566.812,55027.195,45525.445,40795.195,62325.35,44549.734,29688.021,40687.03,55699.254,52740.85,52360.21,46530.395,61843.652,55672.41,85184.164,90930.94,69768.25,62307.492,77597.266,74801.664,71362.07,59011.324,64207.1,103425.68,80967.68,107291.44,93782.836,115227.65,155348.23,153235.22,165682.12,162869.03,118973.516,173582.0,226685.23,101146.6,49194.74,35208.54,40454.47,45994.89,29815.576,49532.457,42530.082,57519.254,41343.13,36160.41,45893.875,38352.73,31884.607,33914.023,30489.9,38927.14,38847.98,30371.979,46224.586,33035.145,28370.615,26854.91,44955.14,25478.982,31304.502,34285.25,34625.645,34924.797,38326.457,32122.146,23403.79,35646.027,32236.246,32439.81,41176.117,35011.957,34840.836,31638.408,27118.781,45526.99,27426.266,19959.926,32482.166,35229.652,26566.402,35485.566,37459.33,31094.195,23575.648,23454.309,25905.643,29461.92,24301.494,31865.287,26885.01,32336.291,30194.186,16999.107,16649.227,18762.63,20593.814,30759.598,25447.582,20858.469,24417.479,23373.225,24185.383
0.02,33995.676,49851.86,33895.97,28456.113,33504.938,79165.195,60254.65,51937.523,46512.594,31206.89,27883.318,20785.023,45316.168,19973.65,20540.996,24356.926,21975.176,24398.902,23721.207,26189.871,38433.836,32960.184,32282.535,28378.242,22139.1,30153.734,25713.648,27362.78,29434.162,25110.78,27682.85,30467.357,33006.016,23282.229,20591.646,19394.924,23593.453,26937.914,19381.176,17896.65,18870.943,21415.71,20862.0,21324.496,18931.508,18207.373,25013.254,22520.947,30942.504,26378.836,17924.363,19569.096,21902.756,20154.652,22508.469,16146.102,27468.25,22791.242,27680.836,25074.826,25250.455,26237.184,33844.285,30374.832,24684.99,22115.094,23394.041,35298.043,24904.19,34836.387,32883.047,26232.361,34112.168,23703.998,31645.863,30763.328,24905.492,35622.504,44935.31,32402.695,35849.285,35291.4,32036.846,34080.71,38545.887,32460.398,45243.25,49337.035,36477.473,52125.08,44125.375,37872.266,42698.105,40391.277,42843.53,36028.8,39718.484,39569.8,41626.535,54956.844,41980.73,47033.766,41986.996,49499.48,53650.395,93976.484,29641.096,35269.195,47720.7,54203.6,55508.742,55071.246,46547.555,55339.797,49498.273,49346.73,45795.227,49850.566,63792.777,57801.496,53128.64,48205.355,63989.523,71872.72,61861.39,83560.016,75029.32,54420.465,84127.484,61686.383,107031.89,84569.65,61880.996,126695.08,232829.98,144398.86,188171.36,200826.7,144398.52,257352.98,100457.555,99713.68,48864.668,39035.53,36269.816,38325.164,32563.307,47714.324,43620.754,41671.83,54484.863,31004.814,37323.797,32425.877,39768.395,45300.33,37421.88,27173.781,37515.113,26633.135,28356.15,33328.69,22989.914,31707.467,35267.46,28107.324,45184.906,26423.19,31293.98,31321.256,31822.32,27055.248,28796.814,31649.436,26981.77,28223.254,41612.96,29486.396,25841.256,26628.342,38605.707,36368.664,23372.076,27283.89,38322.44,25212.283,19359.096,25799.023,21405.996,21954.742,23475.557,19843.115,22364.506,22563.809,17680.203,17237.254,18989.025,18909.254,19594.695,19107.822,20861.193,21033.045,24890.268,21839.676,20507.04,22992.633,20770.18,16731.705,18624.232
0.03,32217.152,43219.082,36318.85,37417.0,29113.049,48703.305,61154.06,43688.918,51197.15,29796.803,46115.6,40541.215,35611.12,44012.176,37151.34,45419.824,39472.34,44490.13,46748.883,40832.008,44065.98,44920.01,25643.22,20100.268,35278.945,26521.244,35024.777,27288.754,30880.082,31846.59,34361.63,30854.453,34797.836,28661.258,31728.264,38005.86,29813.195,43272.812,32552.908,28505.238,21523.127,23323.154,32397.166,22681.738,22901.145,28738.643,27827.709,22900.998,34356.645,23370.03,26963.246,29497.336,20723.191,26375.885,24158.492,23374.424,22689.98,29182.455,26923.42,23435.666,32545.883,28438.676,21278.04,23476.055,21823.043,24795.234,23985.486,31522.186,29411.977,37724.99,32261.281,26375.857,29750.154,31980.873,29689.088,31998.332,30109.418,42118.812,42173.324,36134.64,39804.453,35443.043,32959.906,37948.88,29957.42,26520.758,41603.746,45429.715,46170.23,48625.04,38508.875,42679.418,39676.113,39626.973,55037.66,36075.613,45066.01,32093.764,43253.582,35564.07,53533.516,39582.84,42810.812,47545.28,42243.67,51297.965,35771.465,41098.98,39249.156,61136.89,38476.22,73750.42,49031.254,41119.62,54133.76,48221.95,51510.5,57474.39,64479.395,44876.105,54656.152,53068.945,52826.152,86842.34,91840.58,77071.24,58189.008,82179.7,85023.305,72235.25,71016.3,76158.41,106652.41,148719.17,102799.54,78057.266,210414.89,140643.28,141732.28,166383.36,188232.97,167272.95,42344.14,36140.438,38839.86,34891.17,33428.492,37063.402,35820.312,42648.07,31183.877,33919.43,42736.723,30263.2,36859.383,32326.234,27039.125,30652.197,28989.877,26343.307,31194.457,31373.01,35656.27,34076.207,30587.082,26575.84,39144.094,25801.52,30079.111,28857.057,34269.38,33608.168,39603.66,37638.598,35958.3,34977.203,34549.297,38563.035,31176.787,29207.092,33836.586,21550.746,31520.783,31171.076,33393.668,29076.664,24019.15,23448.613,28574.146,27107.807,44995.465,32117.115,38873.875,40299.51,38747.89,45312.09,35276.438,30324.367,32725.707,34200.38,34957.67,42260.023,41000.2,44087.043,39100.406,39554.805,36385.742,39027.234,41236.047
0.04,52636.082,63171.473,51296.434,46232.87,45211.062,46528.61,50847.855,57714.11,44563.766,50531.24,127381.96,103278.17,123408.67,102099.27,94219.58,98594.04,106341.01,100316.39,85645.055,67445.72,53516.25,64473.508,45179.668,48431.246,47603.36,40734.605,49418.414,56416.258,52037.42,111183.086,108561.95,97974.414,98038.41,106013.56,106854.83,99601.92,96323.23,105682.6,68370.69,71480.92,68900.42,74303.95,72462.8,81594.79,78510.91,77620.71,69071.17,75250.46,74958.87,73737.28,90270.234,79795.04,103857.266,95077.1,79356.29,73174.84,78646.44,30580.158,26238.9,38366.414,29941.58,27867.246,26680.53,27900.975,33517.87,35536.574,34463.01,45061.652,40246.895,30859.865,39443.348,39177.945,33358.633,40225.13,34196.85,41098.81,52301.152,55949.426,43106.785,42927.21,43833.105,39190.2,44304.92,40606.742,31944.736,36195.195,46742.71,44959.258,42139.426,45711.76,45263.035,37403.92,33058.176,34727.664,56221.85,42482.285,36506.273,42019.062,37882.766,52503.426,55568.406,57325.242,39426.234,44435.15,40346.543,44848.047,52393.395,67863.305,44387.28,63751.145,49112.598,59993.91,52927.938,63410.793,52764.71,47065.516,56334.895,75533.914,58446.184,64033.883,53550.406,74707.98,59453.273,85600.92,60835.496,78429.31,57554.215,80020.41,72022.29,71098.05,118926.67,64036.15,66639.13,130928.11,139301.84,144751.23,183826.92,181163.16,176050.03,176187.02,144496.58,107560.266,37765.477,37918.992,39945.23,33394.37,72664.83,100352.695,91574.45,88679.0,65528.664,61490.008,34166.105,38649.055,40140.094,43787.67,43323.64,42437.055,33551.414,37405.707,41080.207,45410.168,54505.902,39523.723,34230.758,56281.22,53064.63,54622.75,64771.67,41052.867,46830.676,57123.13,75261.375,51954.56,47697.547,40888.38,48339.383,52304.305,45570.543,56361.184,30887.744,24619.055,31142.014,31063.053,41129.266,38799.86,35672.35,32226.09,31326.213,29120.17,90354.71,73629.75,82830.02,81629.92,75437.02,81642.32,70807.49,82051.234,79095.21,74382.63,72964.445,79832.4,64661.977,77286.164,59260.13,77382.64,70836.25,78980.734,66023.95
0.05,68236.54,67615.39,58752.812,60085.2,67996.14,76200.37,61104.836,72717.32,92376.51,56473.598,168340.53,156578.16,152683.56,146626.02,153944.94,151281.9,151330.66,153437.16,167955.03,104973.766,88544.195,89423.414,67733.51,71591.445,93497.24,78405.48,85158.78,78271.4,84700.4,141855.45,143879.03,155045.45,145455.42,145828.48,159527.12,149068.33,149515.98,143322.27,109711.78,122207.09,113336.36,113099.89,120993.33,124153.1,115700.086,130676.53,122485.07,122892.76,152163.38,147719.69,138421.73,140059.9,153570.11,137568.19,135520.94,146571.53,132533.45,58100.58,57793.367,55685.203,59059.24,87385.12,86170.13,84761.47,82744.375,77476.88,67997.64,50725.355,40598.797,37194.83,39898.047,44692.668,45059.055,63416.895,47757.473,56815.32,64456.24,56456.44,49468.082,67903.95,57257.305,80645.375,47656.062,67975.85,61460.46,65084.6,58791.367,52651.57,65983.38,57145.023,45534.145,54962.184,54242.66,47974.426,45775.574,48921.156,45964.46,55819.61,58564.418,47645.69,43571.324,47004.89,53476.46,58381.336,59039.082,77321.81,76791.04,64357.53,49642.137,73141.82,63007.727,48123.4,62766.26,71275.25,89175.38,74626.555,62586.465,51890.848,59505.99,48339.56,47556.92,58099.605,66513.53,90992.21,82591.36,98803.3,73919.37,80437.34,74075.336,72868.875,75762.875,72978.3,64271.96,220233.56,160859.2,172554.66,204349.92,191722.97,166605.48,126865.92,138796.1,148009.23,51326.254,56604.156,58504.188,71850.16,82894.58,55756.04,53624.105,50071.03,57433.46,59191.71,71992.97,55753.332,64179.76,73623.84,60238.773,75194.375,70558.74,66776.53,60161.473,87691.945,72195.93,85335.875,97098.36,77721.66,72836.836,99491.7,77257.98,98179.8,93344.96,93659.016,72817.414,72119.72,76913.234,78336.49,82708.86,75309.37,99954.01,63833.652,45094.312,37571.312,50421.215,41138.13,42401.473,61988.598,45483.105,42997.453,51184.5,38383.566,111412.72,105361.72,95430.26,108312.63,109560.58,113055.48,101406.055,116599.8,118960.71,85030.89,118212.414,110553.2,103100.625,92125.68,97468.36,116581.85,115006.78,92554.625,95314.14
0.06,110941.59,112395.414,105589.555,94858.84,126062.52,129749.73,144755.06,96925.98,112895.86,114593.016,144183.67,150907.33,144086.39,142906.53,141204.89,139362.86,126337.31,139971.64,141345.6,129690.97,120999.4,129957.61,120213.47,109673.92,128836.78,123522.87,122778.63,130381.945,129155.55,193818.64,178120.05,197548.25,186135.98,185909.3,190079.62,192328.6,189675.02,183624.02,159830.36,141581.14,162468.95,144226.03,159585.8,150738.73,156733.22,166849.25,154215.02,159425.9,210424.66,200307.2,192243.66,175611.22,195685.98,183263.05,193877.56,189706.1,191193.02,120093.25,123318.45,139266.16,141536.66,141186.05,127703.72,132529.14,135901.92,176810.28,144812.5,54351.832,49783.62,49195.188,55111.414,51682.48,50513.402,51660.242,43789.83,73017.43,73419.76,101017.3,71708.98,64716.754,75941.75,76082.99,88124.586,69452.66,70831.3,86856.87,83914.28,75746.19,81659.125,89885.26,61367.023,94736.48,76186.336,67283.66,90211.76,83150.23,55413.285,59731.688,55447.83,57196.918,52005.855,50607.55,64147.625,62152.895,56255.56,81306.93,91307.836,110515.56,68146.37,90056.46,110731.23,80307.125,105217.46,86781.57,87498.68,61477.31,78438.71,87367.66,70824.05,84121.85,62749.695,62938.81,89263.055,77526.96,91925.29,73827.836,98405.77,75065.734,96695.375,107260.234,94412.51,105913.78,105185.83,133767.62,144299.84,172866.1,200558.1,115264.83,131274.61,139188.27,193792.27,151922.55,109158.97,85111.72,82291.76,99543.61,95630.77,89327.79,104176.086,83454.11,69463.06,90381.484,106726.38,105544.805,103646.41,125849.516,103008.38,91736.24,123751.24,86691.22,101458.664,88658.375,107972.44,115249.984,99943.58,108881.38,91349.22,99288.28,110295.33,107724.08,107131.625,90344.484,130620.12,96948.25,109661.66,88632.05,122140.75,87346.94,68887.12,83761.88,44997.69,41288.29,50306.754,56449.367,43096.387,43022.625,51732.484,41081.85,57019.94,45690.984,119957.76,103534.33,111328.32,96781.664,109600.54,121255.96,120791.125,115853.23,124597.61,102723.0,87465.12,85156.18,89235.766,108911.33,93585.33,101574.86,114988.02,111413.25,108681.69
0.07,109036.36,130690.9,107224.4,111595.33,94694.4,102641.5,133407.95,124031.49,143635.75,93421.484,169854.55,148666.11,135218.86,148969.34,143328.45,145159.55,144143.31,159704.97,158474.9,150616.98,120106.34,106506.35,107822.43,107475.15,111421.14,108872.85,100613.39,104811.31,111076.62,192830.69,182545.66,178427.98,182765.42,170709.23,183179.42,166294.7,186236.33,181589.36,153176.92,124729.695,132826.06,135175.77,133819.53,126363.58,139076.14,135049.23,137976.94,122831.86,181431.73,156653.2,178771.75,176805.88,175356.05,175098.7,190873.45,171180.12,196521.19,101455.08,131711.78,113487.58,149683.86,117254.1,123715.68,121445.05,120921.04,126399.555,142513.94,51797.39,68297.53,52440.395,51777.594,42034.906,39391.79,52418.37,48737.75,52180.2,72923.62,87416.9,71258.22,76995.19,71606.8,82985.94,72474.0,59419.688,81478.57,53597.977,85688.51,76788.09,66941.484,76025.836,90793.055,83235.94,81762.57,73241.164,72565.234,48798.71,66808.85,46028.68,56407.77,72654.0,51410.37,50701.9,58199.242,59336.668,54467.203,71256.19,91226.32,83689.875,108070.805,79466.75,77891.99,103341.61,93660.68,85909.97,77410.91,76171.695,84130.66,77614.33,64302.863,56608.96,77425.375,71126.58,75280.53,81223.79,99334.234,77854.94,82597.62,109870.71,94150.83,96344.18,74238.4,86804.06,85447.69,166075.0,157561.84,151398.22,222903.47,223806.86,127956.055,195813.19,211700.25,225656.19,67446.086,70205.86,116334.01,112607.81,79558.06,112714.44,86596.93,126293.92,98621.85,66970.586,118701.71,75322.336,84099.586,64313.156,75783.93,78596.72,91128.69,85257.95,115582.6,98221.77,112477.195,124552.96,98902.43,102265.914,96984.35,100402.1,131199.94,91903.26,103274.4,87847.88,93666.38,104206.5,99350.9,111524.14,122837.97,118235.93,136099.19,128543.17,46773.055,40390.434,47190.555,52139.46,44204.676,43913.45,41712.99,49710.52,47072.668,56460.734,122217.29,97895.04,120329.875,123396.32,121768.836,105465.125,122185.19,116319.516,113555.625,121349.72,107560.56,109091.586,105255.93,97402.07,121205.7,115987.51,107124.11,107572.93,114333.71
0.08,103560.914,114176.836,141571.02,127922.39,110205.99,163325.11,131009.555,97475.23,98753.37,109702.74,142710.4,146248.44,135611.94,131355.72,151667.27,125239.74,141880.22,137150.86,141537.42,98125.38,81998.086,89868.99,104433.87,99587.68,94502.984,107535.14,92568.73,95162.04,104386.055,105369.45,100271.69,102947.9,108097.8,100771.945,117866.57,117731.45,103881.63,101227.7,112534.35,102358.22,81907.97,108984.75,82586.266,82389.34,94849.54,96089.67,87766.88,91993.016,108265.23,100035.3,94781.625,93941.71,91450.93,91741.914,96622.12,105444.45,100792.23,42564.082,36411.605,48044.125,45639.844,44062.316,45238.582,40059.344,39795.07,39894.766,52330.387,59878.13,52516.082,66576.9,45788.297,52333.574,49139.543,66255.29,59476.12,57137.13,88504.164,68629.53,80433.3,54700.547,45940.09,51919.8,68408.86,53390.367,64097.887,55125.51,61826.477,57158.066,46117.277,50037.254,49233.19,41542.42,53741.453,48473.7,50471.586,69806.29,55698.97,46300.016,46739.195,53283.387,50050.96,45930.74,45610.594,61243.227,40939.727,95985.62,115986.43,96326.69,117288.766,116212.11,102185.53,117578.734,106024.01,97872.7,68966.1,68171.81,94164.086,69399.08,75131.54,59044.465,77009.805,64879.695,57072.67,105208.46,88488.83,67637.95,77178.305,79053.46,117442.516,80213.85,79254.97,81882.95,86014.68,210722.69,248280.03,219602.64,188455.86,139491.81,197508.89,110498.945,199888.08,190731.83,75874.63,87793.41,108801.91,84804.17,99558.9,74172.64,87218.41,88366.055,76439.05,92326.4,111872.45,117900.625,122297.17,77929.08,79421.56,67033.69,103202.836,89038.266,85686.06,129426.83,127187.44,141531.08,151832.14,131597.06,92084.56,105415.84,152460.72,111612.42,130531.18,118926.14,136884.28,82611.59,102131.15,91869.555,85869.52,98845.75,95363.43,115374.27,55130.766,47068.582,56785.19,46491.348,62182.836,70785.836,47973.555,46291.156,47472.965,40843.625,133364.31,122373.81,125551.195,118713.84,131878.75,148586.06,136166.2,146736.78,128165.53,100353.625,132679.75,116378.8,127224.43,130495.74,130850.46,123401.19,128906.0,115650.33,110629.47
0.09,120732.62,120088.016,135799.53,160471.81,132883.31,111996.78,123937.89,140682.73,158112.64,155892.98,159942.17,168608.17,149865.08,150446.0,147373.7,151907.44,152647.78,167817.64,166672.55,85699.625,99878.086,96342.195,95051.586,100660.63,110491.586,93128.336,112305.38,108421.984,109261.55,82037.47,89334.41,91689.875,100653.414,93691.31,86302.5,80223.44,92175.77,99112.59,72506.42,62668.223,67472.266,61037.777,66734.29,63160.98,60331.836,70948.45,61389.74,69123.87,72961.57,73190.375,70618.484,65942.76,74457.73,68505.75,66967.76,74876.914,71136.266,46628.5,35426.535,31700.8,32128.105,36875.977,36244.03,32711.543,27784.002,29676.426,34851.95,40630.81,35206.65,45403.867,35061.45,38650.207,40307.953,40537.2,35670.85,40168.617,53405.453,49506.477,36512.316,54078.176,44734.484,40555.82,45591.086,43684.477,43638.195,42282.67,52414.363,38773.48,47001.24,46121.707,51718.633,47224.59,58594.45,46284.28,42338.71,44311.47,50758.15,39562.293,50865.688,52235.004,38497.457,49510.375,52570.293,61374.664,46941.223,107929.19,137980.55,92427.88,118233.15,82966.375,102346.08,94105.234,109800.96,128470.75,55278.39,48894.703,70739.69,55522.258,59241.73,58405.656,49907.332,58229.7,59229.098,104411.586,87188.7,82608.35,69130.86,115342.34,79778.336,78344.62,111917.75,64436.992,88276.79,148483.06,178052.0,187559.73,173627.12,97823.195,172003.34,114804.555,139144.77,262157.4,142747.44,73649.445,92817.99,105749.27,71850.93,79744.31,80946.64,81480.69,76306.36,102138.66,101083.375,74430.734,75463.75,96707.64,92831.14,117283.02,118834.734,105464.17,139018.02,127787.89,112379.84,140226.86,128576.58,159005.8,126211.55,138233.03,126691.125,150070.69,149588.9,123852.02,121977.945,105809.27,124414.336,100210.71,127785.82,130551.625,121695.92,103226.64,44734.645,53400.004,43279.938,45652.65,57394.242,53010.703,41420.645,34760.996,49600.97,51551.965,147389.19,151314.31,155974.66,149645.77,140231.06,123820.086,137543.83,134614.81,161215.66,132006.7,133967.64,135377.48,142172.34,138509.02,137468.67,122161.25,123032.305,140714.75,139159.8
