Time,B-1-1,B-1-10,B-1-2,B-1-3,B-1-4,B-1-5,B-1-6,B-1-7,B-1-8,B-1-9,B-10-1,B-10-2,B-10-3,B-10-4,B-10-5,B-10-6,B-10-7,B-10-8,B-10-9,B-11-1,B-11-10,B-11-2,B-11-3,B-11-4,B-11-5,B-11-6,B-11-7,B-11-8,B-11-9,B-12-1,B-12-2,B-12-3,B-12-4,B-12-5,B-12-6,B-12-7,B-12-8,B-12-9,B-13-1,B-13-10,B-13-2,B-13-3,B-13-4,B-13-5,B-13-6,B-13-7,B-13-8,B-13-9,B-14-1,B-14-2,B-14-3,B-14-4,B-14-5,B-14-6,B-14-7,B-14-8,B-14-9,B-15-1,B-15-10,B-15-2,B-15-3,B-15-4,B-15-5,B-15-6,B-15-7,B-15-8,B-15-9,B-16-1,B-16-2,B-16-3,B-16-4,B-16-5,B-16-6,B-16-7,B-16-8,B-16-9,B-17-1,B-17-10,B-17-2,B-17-3,B-17-4,B-17-5,B-17-6,B-17-7,B-17-8,B-17-9,B-18-1,B-18-2,B-18-3,B-18-4,B-18-5,B-18-6,B-18-7,B-18-8,B-18-9,B-19-1,B-19-10,B-19-2,B-19-3,B-19-4,B-19-5,B-19-6,B-19-7,B-19-8,B-19-9,B-2-1,B-2-2,B-2-3,B-2-4,B-2-5,B-2-6,B-2-7,B-2-8,B-2-9,B-20-1,B-20-2,B-20-3,B-20-4,B-20-5,B-20-6,B-20-7,B-20-8,B-20-9,B-21-1,B-21-10,B-21-2,B-21-3,B-21-4,B-21-5,B-21-6,B-21-7,B-21-8,B-21-9,B-22-1,B-22-2,B-22-3,B-22-4,B-22-5,B-22-6,B-22-7,B-22-8,B-22-9,B-3-1,B-3-10,B-3-2,B-3-3,B-3-4,B-3-5,B-3-6,B-3-7,B-3-8,B-3-9,B-4-1,B-4-2,B-4-3,B-4-4,B-4-5,B-4-6,B-4-7,B-4-8,B-4-9,B-5-1,B-5-10,B-5-2,B-5-3,B-5-4,B-5-5,B-5-6,B-5-7,B-5-8,B-5-9,B-6-1,B-6-2,B-6-3,B-6-4,B-6-5,B-6-6,B-6-7,B-6-8,B-6-9,B-7-1,B-7-10,B-7-2,B-7-3,B-7-4,B-7-5,B-7-6,B-7-7,B-7-8,B-7-9,B-8-1,B-8-2,B-8-3,B-8-4,B-8-5,B-8-6,B-8-7,B-8-8,B-8-9,B-9-1,B-9-10,B-9-2,B-9-3,B-9-4,B-9-5,B-9-6,B-9-7,B-9-8,B-9-9
0.0,-55385.645,-32139.97,-40981.094,-40722.84,-53861.9,-35934.582,-33921.367,-42616.04,-46294.37,-70705.4,-67542.555,-60593.844,-58135.113,-67637.26,-53745.062,-56231.617,-54823.887,-57723.965,-64002.234,-59117.453,-63273.957,-70553.984,-73400.43,-68547.64,-78534.8,-73290.25,-72284.164,-72753.3,-64935.3,-70876.164,-65723.58,-70503.734,-67504.6,-62644.92,-60377.605,-58832.527,-70400.18,-64734.816,-97002.57,-74362.97,-78443.195,-76164.875,-68269.68,-72394.15,-61333.555,-60801.637,-67544.336,-74635.22,-93188.51,-83964.29,-83034.875,-77220.32,-77196.67,-77448.47,-79049.38,-76717.01,-88168.76,-93963.32,-98719.36,-99764.97,-95990.73,-86160.14,-80381.664,-74378.055,-78627.484,-87355.88,-87626.58,-110851.6,-95606.305,-92098.27,-89076.18,-88864.21,-98461.58,-93653.805,-91394.93,-93122.625,-100445.516,-111715.88,-115632.05,-100355.734,-99939.58,-104888.57,-104380.43,-111300.445,-110884.44,-122362.81,-113162.17,-99259.85,-106421.586,-104618.58,-98796.984,-114188.61,-101682.71,-108190.18,-112255.76,-117094.19,-125034.07,-115159.25,-121956.51,-115875.34,-112710.14,-111972.56,-125738.2,-120591.266,-121036.35,-49442.406,-45795.73,-45592.266,-56498.887,-46282.08,-40051.066,-62850.605,-42995.875,-52417.66,-140706.95,-132351.75,-159399.33,-161283.77,-143846.75,-121584.74,-143027.44,-119739.305,-130515.59,-184764.53,-140022.98,-153501.73,-153732.92,-140616.4,-160186.55,-125274.4,-133303.56,-161713.33,-166596.16,-235453.67,-304866.9,-306398.97,-287106.8,-286323.72,-209831.95,-403247.62,-258478.39,-413682.84,-51525.94,-46843.113,-65917.51,-46404.453,-40724.234,-47487.69,-48375.375,-40224.836,-37921.168,-41853.586,-48488.797,-41308.258,-54277.523,-46345.43,-51232.07,-47557.418,-42215.195,-47399.953,-43724.734,-46648.8,-54589.617,-46286.223,-60789.54,-59386.688,-51554.89,-57119.152,-47146.113,-43694.848,-47456.805,-65657.266,-45201.508,-49233.387,-49498.656,-50183.742,-47510.1,-61712.44,-56601.18,-51338.24,-59537.453,-55341.297,-60103.414,-47546.637,-47506.125,-56778.67,-54067.312,-46251.004,-46791.66,-46232.977,-65300.48,-64068.26,-52845.805,-56397.477,-52785.11,-53558.375,-62697.98,-58969.05,-67734.836,-78381.52,-88661.43,-56836.906,-56447.062,-54371.367,-52630.465,-47465.957,-50421.52,-48721.926,-49197.195
0.01,-51266.914,-42189.95,-38801.074,-45339.906,-33074.117,-49342.074,-66690.695,-36301.21,-58856.58,-52450.293,-63465.57,-65415.58,-59359.406,-53746.676,-61189.37,-57524.758,-58285.543,-59527.234,-59971.754,-67570.44,-62311.727,-74686.734,-69255.94,-83807.14,-70950.91,-66809.65,-67999.164,-76716.3,-74220.8,-68233.02,-60586.066,-62159.93,-54384.418,-59338.477,-64150.562,-64450.344,-67299.47,-72757.47,-78368.36,-73572.49,-71709.05,-66302.266,-69609.41,-78513.016,-64168.848,-60790.832,-70521.34,-73392.87,-83061.695,-78884.04,-84814.67,-79926.164,-77564.01,-68840.03,-85631.09,-80229.61,-81600.484,-99129.14,-100308.234,-89658.0,-88151.59,-84271.945,-89945.24,-82261.35,-85051.55,-89909.17,-98254.8,-99616.6,-87252.664,-92517.65,-113176.74,-98117.59,-82695.66,-87848.445,-106323.695,-89920.25,-126735.08,-96846.96,-106955.96,-95033.14,-105650.99,-116479.05,-124761.07,-93443.45,-92487.31,-109718.41,-124743.44,-103641.98,-130593.99,-121503.48,-116701.4,-105405.914,-111223.34,-119432.1,-114497.22,-146813.3,-131822.12,-114780.164,-122688.04,-95974.03,-109043.305,-102817.28,-132077.62,-122271.305,-120549.11,-50907.883,-58036.56,-55590.344,-38141.48,-59449.844,-86652.41,-59768.062,-61075.812,-43834.062,-122237.19,-130560.64,-127550.09,-133113.36,-142738.61,-110113.73,-157977.62,-141457.25,-137289.56,-152115.36,-163842.44,-136256.3,-159011.0,-154779.08,-162546.44,-150266.92,-167296.08,-172700.61,-169046.84,-283586.06,-279330.47,-320338.25,-263298.34,-312423.2,-214997.44,-220738.28,-430392.38,-201931.47,-55243.492,-44488.95,-44048.7,-58305.707,-39024.164,-84913.13,-41970.832,-54258.832,-73832.23,-46047.87,-50549.332,-51236.875,-41069.758,-47379.973,-50475.387,-40534.41,-40033.105,-42880.746,-46321.074,-47666.88,-40123.098,-48597.375,-42419.29,-52556.418,-59945.414,-67214.945,-52729.297,-47286.207,-55366.855,-51939.82,-55648.1,-49127.945,-52386.535,-48832.332,-50487.598,-60591.77,-48157.547,-54628.707,-49425.71,-45660.824,-53603.793,-56135.984,-60758.543,-59754.92,-60872.2,-63406.855,-63873.51,-50286.7,-63088.61,-59032.832,-53979.14,-61898.16,-51828.984,-56619.562,-53335.797,-52843.434,-61044.844,-60066.812,-59314.56,-55693.97,-55969.38,-52356.305,-56298.676,-51109.113,-52441.48,-51224.71,-67149.67
0.02,-33023.37,-43045.098,-39747.324,-41695.12,-38806.87,-79213.05,-57404.266,-54917.734,-75380.49,-39127.465,-68555.625,-64696.83,-75429.945,-63299.457,-60133.72,-76094.734,-59587.754,-69298.125,-67573.39,-56838.973,-66438.36,-86734.09,-88313.266,-89434.05,-74067.234,-61798.062,-61729.195,-66873.71,-77757.47,-63936.65,-77725.14,-77990.27,-78755.26,-69606.17,-63449.055,-72918.96,-71605.086,-78349.32,-78049.32,-87635.79,-70042.38,-76624.26,-79595.97,-76437.15,-76267.03,-80429.48,-80882.586,-82102.53,-77328.91,-70674.69,-68165.67,-73785.86,-77016.72,-82867.4,-82090.336,-84774.27,-81223.9,-93069.555,-96824.125,-86118.06,-80500.25,-88197.55,-81423.95,-76549.94,-92752.375,-100818.29,-78769.13,-84296.34,-102944.57,-88977.13,-96794.56,-96195.47,-85475.76,-102568.484,-89748.945,-109075.39,-102011.914,-106974.47,-101883.33,-95527.266,-91860.38,-91315.13,-84515.49,-96692.25,-109517.164,-97224.43,-111218.984,-117218.914,-124340.58,-104116.34,-109760.93,-99211.33,-105481.11,-104230.68,-121475.62,-115781.26,-120155.59,-116947.37,-121490.79,-117375.15,-121008.766,-126049.04,-103050.164,-115925.46,-111956.99,-78790.445,-33258.52,-49189.8,-40595.33,-105477.15,-60523.336,-61599.207,-50709.254,-58110.996,-137130.11,-142112.89,-124589.555,-116672.98,-123027.195,-152514.56,-125259.26,-131681.34,-146147.11,-141018.66,-167518.05,-166352.2,-155984.52,-128999.625,-166759.62,-192203.39,-145051.8,-182075.08,-161629.1,-238261.9,-269426.4,-300413.78,-304955.66,-306135.1,-241521.23,-269899.88,-284550.1,-329380.0,-52424.906,-63741.06,-46133.46,-39603.516,-38033.8,-61676.2,-61672.938,-56811.492,-55527.203,-50286.14,-49371.457,-45857.016,-50970.094,-36191.58,-38652.773,-51862.438,-40850.707,-35978.727,-39932.027,-50106.844,-43990.703,-49119.934,-42547.75,-49069.35,-51188.734,-42453.055,-42766.363,-61023.15,-49510.07,-56932.83,-42459.746,-53479.1,-45302.47,-45899.42,-54128.844,-52269.43,-42441.62,-47791.78,-57095.723,-53512.797,-47711.594,-45171.16,-49983.42,-47072.08,-45729.227,-51768.46,-48576.645,-54049.605,-53509.32,-71270.12,-50012.3,-64479.047,-47125.36,-65393.438,-55711.1,-52546.094,-51542.914,-65337.418,-57818.113,-72729.92,-62271.88,-58149.133,-64332.746,-63020.516,-63258.97,-67513.75,-62224.953
0.03,-40344.11,-32937.117,-44056.293,-38212.543,-35438.09,-46345.824,-67008.86,-74089.984,-56650.22,-29484.479,-120430.45,-115282.47,-108179.99,-116573.305,-116806.49,-112324.086,-103677.7,-109953.086,-125658.555,-96513.63,-83406.76,-134667.4,-149595.17,-102925.11,-120458.02,-98976.46,-91487.98,-93123.52,-116039.27,-124542.445,-123506.086,-123100.29,-130603.25,-120928.36,-119137.125,-121622.05,-111783.67,-121122.49,-126314.734,-129777.31,-129688.24,-118045.33,-129885.805,-119095.58,-108671.0,-126425.516,-128340.24,-121990.74,-139067.8,-127585.61,-133242.3,-116990.29,-106411.6,-116740.79,-135015.38,-140820.28,-138954.58,-119653.15,-133622.67,-100286.836,-101174.48,-101892.36,-103709.37,-93916.7,-91963.875,-105667.92,-110411.88,-127211.21,-117466.91,-97362.88,-105179.18,-108424.12,-125893.77,-110153.08,-129911.88,-140161.27,-97904.766,-131955.08,-104856.88,-113631.086,-108682.49,-103987.94,-94010.0,-102879.34,-99267.78,-105313.39,-112856.02,-121580.54,-111172.125,-106102.37,-88664.33,-112189.14,-99805.75,-127916.54,-131195.56,-129608.54,-154043.22,-110898.02,-107793.21,-154934.55,-104213.445,-114498.27,-107769.35,-106933.016,-115192.11,-44738.16,-54949.453,-70599.086,-51982.293,-58539.566,-50252.684,-61457.86,-40337.746,-66679.73,-119696.34,-109372.914,-133478.39,-143812.66,-141609.98,-131929.94,-121148.445,-125798.305,-154323.14,-175894.61,-152421.19,-174000.55,-137046.77,-146507.89,-168924.53,-127347.12,-126783.47,-152525.98,-168587.39,-293873.22,-361091.7,-229061.14,-291288.25,-263865.47,-227161.56,-266250.44,-323816.84,-393190.22,-62967.54,-56294.81,-50847.98,-75222.23,-52009.125,-53870.953,-52043.62,-50300.945,-41792.473,-62008.87,-60668.582,-51205.54,-49940.453,-42021.613,-48207.86,-45712.637,-44307.418,-38086.23,-58913.97,-59490.793,-49892.77,-55104.906,-56945.184,-56932.52,-64773.67,-57080.453,-62404.32,-60073.16,-46928.984,-78393.74,-71470.09,-71953.12,-65998.516,-74681.03,-67108.21,-67411.43,-73157.72,-59500.215,-63912.906,-59701.652,-73689.18,-85141.72,-70753.84,-81889.3,-69837.82,-75989.99,-69426.91,-76907.69,-122757.555,-106995.125,-113224.19,-109102.96,-94579.92,-98993.55,-96523.125,-92585.695,-99916.84,-100750.96,-96757.375,-115452.03,-102374.25,-101710.36,-94400.07,-98557.89,-95220.11,-99595.55,-104209.58
0.04,-90467.086,-51403.043,-46058.49,-63761.008,-52310.01,-66994.15,-70283.08,-56082.668,-62084.82,-48842.203,-231109.48,-199992.72,-199545.08,-196434.98,-203555.1,-204777.5,-196677.25,-205378.53,-200884.45,-159061.19,-167981.11,-160635.69,-147031.97,-178116.14,-162666.56,-159929.56,-162909.08,-162430.64,-203405.94,-215737.9,-225815.69,-217045.83,-204762.05,-207030.92,-216920.08,-207840.86,-208506.31,-209464.3,-200316.28,-194355.06,-204152.83,-201760.58,-212278.77,-204918.17,-188185.14,-193272.98,-198136.33,-206824.84,-220640.55,-202686.23,-201434.8,-205429.52,-195025.55,-191324.3,-197561.27,-209619.53,-224134.58,-146748.22,-158186.42,-145918.48,-162176.89,-159486.6,-146589.22,-147849.88,-151478.52,-145358.33,-170918.86,-218812.06,-176115.61,-163734.16,-166106.89,-213783.3,-174845.27,-216782.25,-182803.06,-188833.48,-152744.1,-188316.16,-195598.25,-169714.33,-161044.4,-201073.02,-167037.61,-180743.97,-158447.73,-185992.9,-119282.555,-125305.875,-115190.73,-112746.05,-107874.43,-154058.36,-102857.27,-107237.414,-129819.4,-137073.77,-141597.22,-123957.52,-140858.11,-128203.55,-142250.94,-128402.71,-144315.14,-131730.52,-117200.664,-59246.918,-67185.01,-68476.11,-79330.31,-69188.97,-64953.32,-82895.2,-73448.56,-99635.94,-172695.81,-145350.44,-131758.53,-125496.69,-127459.25,-138572.45,-146004.48,-174986.2,-150764.73,-162576.53,-170525.16,-145788.02,-147492.16,-158604.62,-176197.92,-172638.83,-147971.42,-164200.47,-153778.31,-437104.0,-240206.92,-235533.75,-233955.48,-310461.6,-177418.05,-285492.78,-243407.27,-303294.06,-64413.992,-70997.09,-66528.734,-54711.83,-225556.1,-192183.67,-94821.96,-74267.22,-75563.19,-168394.7,-86322.805,-75469.49,-73286.19,-74911.35,-82850.12,-71414.38,-66396.945,-63672.992,-83175.86,-114698.336,-124872.484,-107791.21,-107218.95,-86024.664,-111078.9,-109641.88,-115849.695,-115150.03,-102663.484,-128741.85,-119196.48,-116048.45,-112904.984,-108493.84,-117113.805,-124517.305,-111789.41,-143428.27,-119882.42,-111308.875,-94502.195,-104774.89,-92672.29,-94939.8,-116014.88,-95063.664,-107160.164,-121048.02,-178909.7,-158008.84,-177334.72,-146646.7,-157000.03,-154713.22,-197206.77,-148999.64,-180783.36,-164080.48,-163300.19,-196238.25,-197663.45,-165298.1,-149395.75,-205800.64,-155093.97,-153391.42,-169916.36
0.05,-107619.31,-71334.375,-71729.016,-91026.7,-81456.24,-70505.26,-75658.17,-63097.055,-84831.984,-77185.234,-307677.9,-300728.62,-284492.88,-291949.03,-284764.28,-285958.3,-285056.0,-292732.0,-314219.97,-285292.5,-315551.56,-279672.3,-275313.94,-258546.27,-272292.9,-261550.4,-277364.62,-270436.72,-288574.06,-329630.2,-314955.72,-300136.44,-300400.4,-305710.1,-303351.03,-322407.8,-303272.75,-334430.25,-324236.97,-306706.1,-313596.03,-300639.5,-303788.62,-288281.84,-290052.4,-296117.1,-297539.72,-318309.12,-359851.97,-315837.9,-316257.34,-288475.84,-293831.47,-311632.03,-296808.94,-308670.16,-346085.66,-250499.33,-273892.38,-262996.28,-259538.42,-254954.64,-264829.62,-300266.6,-244580.12,-260593.0,-272377.75,-281737.16,-239317.75,-265502.9,-257909.81,-261660.94,-262971.47,-267380.47,-224180.62,-266611.34,-270895.2,-264143.16,-268249.5,-261227.9,-281792.9,-269391.2,-261428.27,-272118.72,-280085.6,-303580.6,-276440.6,-245330.33,-213285.81,-228903.97,-237868.84,-252343.44,-225054.86,-241482.22,-275372.28,-184475.14,-178925.78,-168914.9,-158718.98,-178039.92,-160654.12,-162180.81,-153177.45,-183710.8,-182623.77,-92681.06,-80726.67,-103719.8,-87350.2,-76156.41,-89039.46,-112190.61,-91749.85,-88750.66,-193962.98,-202122.67,-178891.25,-179260.55,-167056.39,-169561.33,-168789.75,-191202.83,-204320.55,-190634.86,-206298.19,-197391.81,-189904.02,-194417.55,-209766.25,-178065.88,-179559.64,-179574.73,-190248.38,-384997.7,-237588.61,-350596.9,-271379.88,-269287.97,-338154.22,-292405.66,-292597.97,-319596.0,-69169.53,-75976.086,-69639.445,-76073.85,-64293.105,-60786.9,-75589.11,-85670.414,-73909.72,-88470.3,-148588.39,-105216.13,-102539.16,-131102.38,-166220.53,-154977.48,-167808.67,-133418.45,-113680.53,-186444.06,-189285.45,-179759.95,-163442.38,-150162.56,-159439.95,-153078.08,-161039.11,-158933.84,-150410.69,-207528.98,-162788.11,-166350.75,-192384.22,-151932.69,-152347.42,-153903.3,-167759.84,-183591.28,-158119.27,-169429.36,-166063.89,-174716.02,-169477.72,-181469.33,-178923.45,-147675.75,-149574.88,-139804.3,-270764.38,-227103.47,-234432.88,-230308.17,-234883.55,-228253.9,-245925.31,-230202.69,-280911.38,-226153.9,-260195.66,-264120.9,-259166.36,-209689.06,-232962.8,-225863.08,-228067.55,-231481.25,-239160.78
0.06,-106613.45,-112771.74,-126691.86,-101268.9,-110723.57,-178616.58,-141920.38,-96812.695,-146409.53,-129360.09,-330270.4,-268869.25,-259172.86,-254995.14,-265003.28,-260420.88,-256826.1,-264075.3,-316951.78,-387598.5,-356281.16,-388121.72,-358520.12,-364118.22,-361316.56,-366009.2,-360359.38,-354233.3,-358305.5,-388790.1,-379772.1,-364176.3,-366459.1,-370089.0,-377388.16,-372790.03,-390494.44,-390614.38,-397703.53,-420538.3,-394730.94,-395577.84,-399462.53,-397373.28,-395959.88,-390204.25,-401234.84,-400024.8,-422094.34,-403567.8,-404902.78,-435736.56,-446021.97,-414288.94,-451743.1,-431323.78,-433986.25,-361020.28,-374962.34,-404950.06,-390114.5,-382273.2,-372388.2,-383827.72,-391428.28,-426516.5,-400495.56,-274816.4,-276978.53,-271512.47,-227710.33,-271952.12,-240630.27,-253028.78,-282146.38,-263834.16,-398614.5,-404048.5,-312791.75,-335011.8,-345536.66,-344601.56,-352928.97,-335934.97,-351294.97,-351450.12,-420675.1,-347483.7,-355695.0,-328947.7,-355705.66,-332095.53,-353880.0,-333774.72,-438560.22,-287619.2,-284943.22,-308335.6,-300230.28,-288273.66,-288436.8,-265083.9,-298592.7,-307506.28,-313296.47,-118706.97,-119589.41,-100968.35,-122465.07,-116639.9,-87358.6,-114116.86,-101515.09,-107321.0,-250062.64,-220453.53,-209733.77,-214905.8,-209700.5,-192002.94,-225741.81,-199954.22,-240568.97,-228953.17,-276196.1,-243354.72,-209857.88,-211368.33,-234095.3,-222945.25,-235625.92,-264154.44,-231792.23,-347145.06,-315427.34,-307659.44,-495832.78,-374901.16,-372539.06,-439459.62,-490914.6,-346651.3,-86259.484,-101339.945,-137828.1,-107748.97,-140893.7,-145298.17,-81278.234,-123500.016,-113248.61,-102312.805,-130151.22,-202192.7,-175084.16,-164400.56,-217546.42,-200477.23,-209795.9,-161617.11,-275131.7,-184397.06,-197660.52,-186795.42,-212927.08,-163910.14,-197168.34,-197435.38,-177814.83,-253680.94,-192549.17,-224208.78,-207007.92,-196701.97,-153253.53,-197988.69,-185963.88,-166869.39,-226074.23,-234249.72,-189681.19,-164123.42,-187205.8,-162092.77,-148663.62,-180907.48,-157016.55,-162769.33,-160371.22,-187166.31,-264971.56,-210055.55,-241819.83,-228930.61,-233476.3,-226013.23,-274520.3,-258307.64,-265407.56,-217026.97,-231872.75,-240885.72,-226644.42,-241268.3,-219383.6,-226390.16,-236430.06,-283777.84,-260521.81
0.07,-113280.68,-101625.84,-83342.36,-98374.414,-96470.92,-134418.48,-111711.26,-160899.97,-182629.97,-103498.45,-360378.88,-291790.0,-273746.3,-264943.94,-270694.16,-290875.44,-276501.88,-279239.34,-331611.38,-334514.66,-342199.9,-358454.75,-346511.72,-334103.03,-341720.25,-342585.06,-338496.38,-318936.3,-323751.5,-363905.66,-360486.2,-347826.03,-354322.2,-353688.84,-360802.16,-357960.78,-359348.12,-363452.9,-389493.8,-374637.62,-360512.88,-364186.4,-363431.1,-378427.44,-350829.16,-369815.34,-359458.3,-366846.22,-425653.38,-367738.7,-394119.84,-376722.38,-363183.12,-368841.25,-380867.28,-382247.53,-400204.03,-368171.7,-379465.3,-337613.84,-358538.84,-364593.5,-347661.88,-350815.03,-368094.47,-383260.03,-368567.06,-298822.12,-233074.69,-254670.98,-229998.44,-239444.39,-255953.73,-261076.3,-235993.17,-258704.08,-322332.12,-361728.28,-311279.88,-335471.84,-354625.84,-291319.22,-312114.28,-304210.84,-341795.53,-311711.3,-355410.4,-329195.9,-332615.94,-319812.28,-331173.78,-345606.25,-324490.34,-311800.8,-382727.5,-293733.78,-266137.8,-236423.34,-254463.1,-275441.12,-302550.84,-261209.16,-256179.05,-260334.11,-272856.38,-95364.09,-113460.02,-98231.3,-101979.78,-92099.91,-159928.42,-149731.25,-109434.37,-91960.24,-222477.03,-212054.67,-197965.44,-215675.47,-196518.42,-214158.66,-199551.28,-235381.39,-226175.83,-256824.86,-239998.2,-217850.86,-192418.6,-238706.47,-237702.31,-202205.23,-234107.75,-220590.77,-236747.02,-331889.38,-332113.34,-430193.9,-406461.62,-263999.12,-287992.53,-272801.34,-499452.8,-439384.72,-91147.164,-131922.33,-121147.31,-128487.37,-117673.59,-120955.24,-132173.73,-123599.9,-130488.375,-148552.69,-190849.03,-150756.73,-148039.62,-156268.36,-171379.78,-166474.64,-145298.08,-142871.81,-192357.53,-186403.94,-236836.7,-215838.8,-197991.17,-207547.72,-204481.11,-187024.47,-152775.34,-188837.4,-202993.1,-223014.62,-190843.02,-194887.12,-187497.61,-197505.7,-198891.25,-184623.25,-195747.95,-255216.45,-180340.53,-135702.69,-133674.19,-128806.086,-114836.31,-130800.375,-134342.12,-157507.61,-123350.58,-151138.55,-323757.38,-263924.12,-287570.44,-299868.9,-304966.4,-294911.22,-284603.4,-281557.78,-307449.72,-354092.47,-268530.4,-287290.53,-317060.34,-323310.88,-314766.88,-296265.25,-289551.56,-296933.72,-293932.5
0.08,-92584.984,-163626.9,-177245.14,-117027.04,-142345.81,-192601.27,-101563.2,-109499.875,-119530.48,-123011.83,-345622.5,-297591.5,-278645.3,-260855.98,-252885.17,-260960.14,-259618.25,-266489.22,-342888.1,-299696.47,-290340.38,-295444.28,-301231.94,-302551.72,-276608.1,-265602.28,-302680.72,-291256.12,-297481.97,-252271.11,-248626.27,-238911.61,-229869.47,-230177.86,-226456.58,-233655.73,-237155.78,-246362.47,-284783.25,-278073.72,-270725.2,-225132.95,-211188.02,-213002.38,-218946.95,-222961.66,-216941.03,-217510.19,-272027.25,-241035.94,-219726.95,-225790.16,-209652.28,-219232.9,-216509.38,-213900.95,-245897.9,-185629.52,-169318.48,-189641.17,-208454.92,-168310.73,-158274.47,-162167.22,-150729.6,-158075.48,-185549.12,-260551.53,-225621.72,-225872.0,-216376.6,-225646.7,-240871.2,-210461.47,-223553.52,-215317.3,-233454.5,-234207.95,-234940.5,-231016.78,-220681.33,-237290.08,-243176.48,-196262.12,-219598.67,-217561.47,-192340.45,-144579.14,-151842.64,-147269.08,-153681.28,-150271.47,-153654.81,-158297.9,-176927.42,-162411.73,-166730.66,-143278.33,-142371.56,-163631.31,-149843.45,-164746.1,-184661.84,-156565.8,-150732.52,-129777.71,-111941.56,-100643.09,-168743.78,-108856.91,-141486.06,-86875.18,-119541.484,-107527.914,-172818.34,-169608.89,-171679.16,-158906.52,-175307.94,-166840.3,-166700.48,-175913.53,-183743.73,-179982.67,-204402.03,-199755.75,-214045.94,-203492.69,-195360.56,-224256.72,-160628.9,-179545.06,-177391.67,-307999.75,-296786.7,-267779.62,-292546.22,-257095.66,-366139.06,-314605.47,-338329.47,-341595.75,-121653.375,-128184.57,-156263.95,-125529.1,-133604.73,-120014.516,-113926.06,-150199.42,-209425.17,-165358.6,-141947.66,-134892.84,-168258.14,-173942.64,-166072.27,-149737.47,-152337.58,-166665.9,-195136.94,-254899.7,-256783.72,-212694.53,-199239.11,-189477.22,-198828.25,-210027.4,-215668.53,-235171.03,-229638.58,-273847.75,-192622.92,-201197.39,-213105.9,-202950.38,-199942.75,-174006.8,-257820.23,-270866.1,-195316.12,-129769.37,-140579.08,-141209.75,-148556.11,-115573.305,-146628.06,-152713.7,-137164.75,-121465.61,-381547.56,-320076.84,-338911.4,-344072.22,-360111.16,-354751.12,-352903.7,-351323.75,-369758.3,-333782.5,-353562.53,-318874.8,-317464.56,-344670.8,-338545.78,-329696.03,-324311.8,-353870.03,-350821.38
0.09,-101961.34,-116644.664,-142775.27,-216889.72,-155064.0,-121066.55,-136005.72,-205130.73,-148097.5,-188059.22,-351701.4,-328445.6,-326912.97,-339604.38,-353789.62,-329938.53,-310939.66,-331689.53,-326063.47,-325770.4,-338387.75,-355899.22,-348298.4,-338941.8,-353598.8,-354464.62,-342205.7,-339834.84,-365579.1,-205542.19,-222510.27,-199718.45,-213936.89,-219940.69,-231252.17,-215193.88,-221998.31,-223348.88,-180524.12,-192829.02,-167795.75,-166129.02,-182845.11,-178512.89,-177941.36,-175715.12,-175736.47,-183649.03,-170488.94,-177089.72,-177536.1,-180428.72,-181538.1,-186080.25,-192186.03,-182491.05,-209018.12,-157330.83,-147557.48,-117517.125,-153054.39,-141603.33,-133371.95,-156031.1,-147661.73,-149713.02,-146016.08,-186881.42,-177128.81,-173155.44,-178407.08,-196283.17,-197377.22,-183483.11,-191605.05,-190554.88,-207524.38,-205192.27,-162439.94,-192330.83,-183534.22,-190345.84,-184673.45,-185555.28,-177368.33,-186783.5,-132085.69,-133763.94,-149523.27,-119823.03,-126351.875,-149805.64,-125476.18,-135272.23,-124201.57,-146492.45,-146560.25,-131902.67,-131438.14,-134558.56,-130238.55,-141641.03,-128671.15,-146216.3,-138991.61,-105387.914,-117742.92,-155944.4,-111926.83,-158150.2,-117909.36,-151927.08,-132305.47,-108789.48,-147798.61,-183188.39,-160668.69,-128833.81,-131028.59,-147940.97,-155169.81,-153017.8,-169152.69,-170615.1,-182985.28,-162786.67,-169751.72,-159908.22,-147669.77,-150911.14,-178401.02,-138845.11,-171983.45,-409150.2,-306000.88,-296032.06,-366062.2,-279553.78,-302795.4,-280914.56,-269114.97,-383136.03,-126075.49,-86498.63,-107001.68,-110637.695,-85903.79,-141606.17,-174747.9,-123411.18,-126560.28,-97479.84,-155322.27,-164581.72,-174330.28,-116271.98,-150636.78,-160453.19,-157552.84,-131379.6,-150312.27,-255865.12,-259045.52,-225819.69,-268900.22,-231660.86,-224120.19,-262879.78,-258749.22,-308430.44,-263772.9,-327154.12,-274740.84,-240738.39,-252510.52,-270932.62,-295049.12,-293721.5,-320164.47,-339886.84,-182105.75,-156658.19,-152264.6,-135098.02,-176120.53,-126638.67,-137534.61,-129178.12,-110168.77,-149147.94,-405148.16,-395234.7,-389404.1,-380955.03,-370009.16,-355284.94,-376692.16,-375713.0,-415584.06,-366449.0,-406321.12,-375356.72,-389811.62,-386276.5,-386004.28,-380049.88,-356817.38,-379356.47,-370982.44
