H_wave,Hs,Max_residual_pressure_Pa,Wave_rank
1.5769565309270792,0.6,18126.244160546357,1/1000
1.49574694231076,0.6,17211.341800515416,2/1000
1.4461298269910103,0.6,16556.92903592585,3/1000
1.4098673449762598,0.6,16212.459184012456,4/1000
1.3810844478008188,0.6,15865.972510926898,5/1000
1.357114030401082,0.6,15558.281375194902,6/1000
1.3365119703069088,0.6,15212.930815360776,7/1000
1.318405455627679,0.6,15043.94601873021,8/1000
1.3022254231094283,0.6,14841.294988232477,9/1000
1.2875796157736081,0.6,14633.907448647662,10/1000
1.2741858585882027,0.6,14379.273702925844,11/1000
1.2618341834448332,0.6,14342.796291721963,12/1000
1.2503639997006535,0.6,14158.81935817644,13/1000
1.2396496528342498,0.6,14049.088340891405,14/1000
1.2295909189794683,0.6,13904.55335044057,15/1000
1.2201065365070576,0.6,13723.800253529393,16/1000
1.2111296778517695,0.6,13583.665658418366,17/1000
1.2026047013008678,0.6,13535.960072376593,18/1000
1.194484770909052,0.6,13390.806915644454,19/1000
1.1867300796533862,0.6,13272.287258079316,20/1000
1.1793065008101737,0.6,13194.951108349538,21/1000
1.1721845491323348,0.6,12993.016833264955,22/1000
1.1653385699868837,0.6,12940.033049009038,23/1000
1.1587460988103946,0.6,12919.855948295039,24/1000
1.1523873495839048,0.6,12743.862655538032,25/1000
1.146244802276475,0.6,12732.159224454366,26/1000
1.140302867080501,0.6,12645.566437959244,27/1000
1.134547608860243,0.6,12544.016858206965,28/1000
1.1289665192725773,0.6,12488.57466931277,29/1000
1.1235483269691577,0.6,12350.681433545229,30/1000
1.1182828384710715,0.6,12314.58119956721,31/1000
1.1131608039387964,0.6,12169.125109133727,32/1000
1.1081738032933446,0.6,12159.37793294629,33/1000
1.103314149085269,0.6,11997.37133777132,34/1000
1.0985748032325247,0.6,12021.25696229211,35/1000
1.09394930531052,0.6,11856.134822697919,36/1000
1.089431710517758,0.6,11897.10560758547,37/1000
1.0850165357873907,0.6,11740.285606184887,38/1000
1.080698712790432,0.6,11786.483083324212,39/1000
1.0764735467964606,0.6,11691.76650655468,40/1000
1.0723366805346248,0.6,11662.987262651266,41/1000
1.068284062340891,0.6,11593.528895399728,42/1000
1.0643119179939153,0.6,11525.605036316207,43/1000
1.0604167257371016,0.6,11458.979319566626,44/1000
1.0565951940626332,0.6,11394.089523649549,45/1000
1.0528442418978674,0.6,11330.601697460783,46/1000
1.049160980888037,0.6,11268.599041636257,47/1000
1.0455426995138593,0.6,11207.176078572274,48/1000
1.0419868488199568,0.6,11190.217635765357,49/1000
1.038491029561371,0.6,11088.539792876625,50/1000
1.0350529806018685,0.6,11031.12127317849,51/1000
1.0316705684201013,0.6,11014.621415727233,52/1000
1.0283417775986763,0.6,10919.261421993357,53/1000
1.025064702187345,0.6,10895.739727854656,54/1000
1.0218375378453657,0.6,10854.387856872543,55/1000
1.0186585746799146,0.6,10759.765023504498,56/1000
1.015526190707621,0.6,10782.085289413024,57/1000
1.0124388458750773,0.6,10706.971150711055,58/1000
1.0093950765817665,0.6,10607.391274875152,59/1000
1.0063934906554257,0.6,10645.210463845851,60/1000
1.003432762735589,0.6,10572.075323790432,61/1000
1.0005116300260262,0.6,10469.516629990298,62/1000
0.9976288883811542,0.6,10487.140270430296,63/1000
0.9947833886952914,0.6,10447.441979812887,64/1000
0.9919740335669778,0.6,10349.536887561782,65/1000
0.9891997742135084,0.6,10310.935241828705,66/1000
0.9864596076134193,0.6,10332.312002435125,67/1000
0.9837525738569485,0.6,10237.673935228702,68/1000
0.9810777536865035,0.6,10151.919356641502,69/1000
0.9784342662109702,0.6,10225.682230909095,70/1000
0.9758212667792682,0.6,10134.848154644922,71/1000
0.9732379449999825,0.6,10044.41212744001,72/1000
0.9706835228951547,0.6,10100.025488530046,73/1000
0.9681572531774308,0.6,10038.707983947905,74/1000
0.9656584176407812,0.6,9951.923318630399,75/1000
0.9631863256558878,0.6,9872.499319724135,76/1000
0.9607403127621131,0.6,9949.56635814964,77/1000
0.9583197393486768,0.6,9865.217400758218,78/1000
0.9559239894183227,0.6,9781.677769295517,79/1000
0.9535524694273367,0.6,9813.879780831165,80/1000
0.9512046071963124,0.6,9784.623276470968,81/1000
0.948879850886527,0.6,9704.125258518141,82/1000
0.9465776680372264,0.6,9623.746550841402,83/1000
0.9442975446595082,0.6,9708.917010143445,84/1000
0.9420389843828413,0.6,9630.78783190953,85/1000
0.9398015076505818,0.6,9553.232361598552,86/1000
0.937584650961138,0.6,9480.29276796491,87/1000
0.9353879661517005,0.6,9562.38345117339,88/1000
0.9332110197216913,0.6,9486.761127372916,89/1000
0.9310533921933123,0.6,9411.759577895433,90/1000
0.928914677506768,0.6,9356.755739435834,91/1000
0.9267944824479236,0.6,9424.208220877543,92/1000
0.9246924261063225,0.6,9351.802485307084,93/1000
0.922608139361651,0.6,9279.739319318229,94/1000
0.9205412643968626,0.6,9232.980780872738,95/1000
0.918491454236319,0.6,9294.797850924171,96/1000
0.9164583723074122,0.6,9224.475513851083,97/1000
0.9144416920242445,0.6,9154.663718688318,98/1000
0.9124410963920447,0.6,9107.940766661091,99/1000
0.9104562776310876,0.6,9172.688664734836,100/1000
1.8397826194149258,0.7,20608.698557333933,1/1000
1.7450380993625532,0.7,19811.396535659616,2/1000
1.6871514648228452,0.7,19179.89534049413,3/1000
1.6448452358056362,0.7,18859.141190990358,4/1000
1.6112651891009553,0.7,18378.051954537787,5/1000
1.5832997021345956,0.7,18227.22952875873,6/1000
1.5592639653580604,0.7,17843.39772920695,7/1000
1.5381396982322921,0.7,17607.254062754888,8/1000
1.5192629936276663,0.7,17493.31211024815,9/1000
1.5021762184025427,0.7,17262.47896958227,10/1000
1.486550168352903,0.7,17033.750507990535,11/1000
1.4721398806856387,0.7,16998.103346938722,12/1000
1.4587579996507625,0.7,16771.820283366407,13/1000
1.4462579283066246,0.7,16559.120584381602,14/1000
1.4345227388093797,0.7,16502.220286627442,15/1000
1.4234576259249003,0.7,16422.641081741844,16/1000
1.4129846241603978,0.7,16289.605167595048,17/1000
1.4030388181843458,0.7,16175.5810915869,18/1000
1.3935655660605606,0.7,16008.365326450672,19/1000
1.3845184262622838,0.7,15806.25478810939,20/1000
1.375857584278536,0.7,15704.583609341824,21/1000
1.3675486406543906,0.7,15722.521716266026,22/1000
1.3595616649846978,0.7,15601.426895177932,23/1000
1.351870448612127,0.7,15538.271612443365,24/1000
1.344451907847889,0.7,15334.588674011331,25/1000
1.3372856026558875,0.7,15242.469257532892,26/1000
1.330353344927251,0.7,15237.070611046849,27/1000
1.323638877003617,0.7,15034.893401463394,28/1000
1.3171276058180068,0.7,15046.12159554521,29/1000
1.3108063814640172,0.7,15006.522064435749,30/1000
1.3046633115495834,0.7,14884.883595813419,31/1000
1.2986876045952622,0.7,14801.434862197266,32/1000
1.2928694371755685,0.7,14674.38918912174,33/1000
1.2871998405994802,0.7,14619.69979144367,34/1000
1.2816706037712786,0.7,14517.78548482979,35/1000
1.27627418952894,0.7,14457.395358939073,36/1000
1.2710036622707177,0.7,14410.524801994214,37/1000
1.265852625085289,0.7,14338.795849307053,38/1000
1.2608151649221704,0.7,14343.77044583924,39/1000
1.2558858045958707,0.7,14257.696953913934,40/1000
1.251059460623729,0.7,14171.318275772785,41/1000
1.2463314060643726,0.7,14086.541022470708,42/1000
1.2416972376595679,0.7,14003.596651060392,43/1000
1.237152846693285,0.7,13969.017374904699,44/1000
