H_wave,Hs,Max_residual_pressure_Pa,Wave_rank
1.5769565309270792,0.6,18126.244160546357,1/1000
1.49574694231076,0.6,17211.341800515416,2/1000
1.4461298269910103,0.6,16556.92903592585,3/1000
1.4098673449762598,0.6,16212.459184012456,4/1000
1.3810844478008188,0.6,15865.972510926898,5/1000
1.8397826194149258,0.7,20608.698557333933,1/1000
1.7450380993625532,0.7,19811.396535659616,2/1000
1.6871514648228452,0.7,19179.89534049413,3/1000
1.6448452358056362,0.7,18859.141190990358,4/1000
1.6112651891009553,0.7,18378.051954537787,5/1000
2.102608707902773,0.8,22463.650016637625,1/1000
1.9943292564143469,0.8,21760.508173627266,2/1000
1.9281731026546807,0.8,21309.84291201959,3/1000
1.8798231266350132,0.8,20919.277457527474,4/1000
1.841445930401092,0.8,20630.060304453567,5/1000
